Fecha,Descripción,Referencia,Valor
08/17/2025,PAGO PSE,7e9091605401,150000
08/21/2025,PAGO PSE,0000064300,342000
08/26/2025,PAGO PSE,0000061800,30000
09/01/2025,PAGO PSE,0000090951,5000
09/01/2025,PAGO PSE,0000097217,1000
09/01/2025,PAGO PSE,0000093573,1000
09/04/2025,PAGO PSE,0000091560,48200
08/29/2025,PAGO PSE,0000048000,81140
09/04/2025,PAGO PSE,trgqzkmpftec,19000
07/24/2025,PAGO PSE,0000045200,27000
07/25/2025,PAGO PSE,0000039100,58800
08/26/2025,PAGO PSE,trzzfkotcfec,41900
09/03/2025,PAGO PSE,trbwtmbpqnec,38900
09/08/2025,PAGO PSE,0000024100,125000
09/08/2025,PAGO PSE,86e105248174,46800
09/08/2025,PAGO PSE,4d2111110697,23400
